2010-03-16,0.0,1.0,23.65
2009-11-15,0.0,2.0,21.85
2012-07-25,3.4,2.0,14.399999999999999
2013-03-20,1.6,3.0,22.2
2012-11-15,0.4,7.0,22.8
2010-03-02,4.2,6.0,20.5
2014-04-24,0.0,7.0,25.299999999999997
2012-01-03,0.0,2.0,25.799999999999997
2011-10-18,0.0,1.0,18.0
2016-08-16,0.0,0.0,18.25
2016-09-18,0.0,8.0,15.350000000000001
2015-02-07,0.0,4.0,23.9
2011-11-21,3.0,8.0,21.5
2014-03-22,0.0,2.0,25.45
2011-03-02,0.0,8.0,20.9
2014-03-24,0.0,8.0,19.3
2009-04-25,0.0,3.0,22.0
2016-05-25,0.0,7.0,18.0
2015-05-27,0.0,6.0,17.55
2010-08-25,0.0,1.0,15.549999999999999
2014-06-29,0.0,3.0,14.65
2009-06-27,0.0,7.0,13.05
2011-07-03,0.0,1.0,15.95
2015-02-09,0.0,7.0,24.65
2010-07-27,2.8,7.0,14.5
2014-05-19,0.0,1.0,21.55
2011-09-20,0.0,3.0,24.549999999999997
2015-01-22,0.0,1.0,26.95
2010-04-25,8.4,6.0,17.950000000000003
2016-01-17,0.4,4.0,22.3
2014-02-02,0.0,1.0,27.0
2010-06-11,0.0,1.0,13.85
2013-03-18,0.0,2.0,19.1
2017-01-20,0.0,7.0,26.75
2012-03-23,2.2,1.0,21.700000000000003
2014-02-25,0.0,1.0,26.25
2009-07-17,6.2,7.0,13.3
2017-04-17,0.0,2.0,21.0
2015-09-25,20.0,7.0,15.05
2016-09-23,1.4,2.0,18.299999999999997
2009-07-25,0.0,1.0,13.65
2009-10-30,0.0,1.0,23.450000000000003
2016-07-29,0.0,2.0,15.05
2009-03-10,0.2,7.0,23.8
2009-09-19,0.0,5.0,20.05
2015-03-14,2.0,2.0,21.950000000000003
2010-06-21,17.0,5.0,14.8
2009-03-25,0.0,6.0,25.85
2010-12-26,0.4,4.0,25.35
2011-02-19,0.0,7.0,28.4
2017-03-12,0.0,1.0,24.55
2011-01-23,0.0,2.0,27.55
2013-06-08,0.0,7.0,16.25
2014-05-26,0.0,6.0,21.7
2011-11-20,0.0,7.0,22.9
2016-09-02,11.6,8.0,15.4
2014-02-21,0.0,1.0,22.25
2013-07-26,0.0,1.0,15.05
2012-06-08,0.0,1.0,12.65
2011-05-12,0.0,1.0,13.4
2015-09-24,5.0,7.0,13.05
2013-06-19,12.2,7.0,12.6
2012-06-03,32.2,8.0,14.95
2009-08-24,0.0,8.0,22.25
2012-04-20,2.2,7.0,23.3
2016-11-29,0.0,6.0,21.3
2011-07-19,0.0,7.0,9.55
2015-04-26,8.8,6.0,15.25
2011-07-21,36.8,8.0,11.3
2011-12-27,0.2,7.0,20.5
2012-03-25,0.0,5.0,19.15
2014-10-06,0.0,2.0,21.6
2010-10-24,23.0,8.0,15.0
2011-11-16,0.0,8.0,20.4
2015-04-01,22.6,5.0,22.6
2011-03-14,0.0,8.0,24.05
2016-05-17,0.0,1.0,23.75
2012-11-13,0.0,3.0,18.7
2009-10-05,2.0,6.0,16.8
